编号,图标预览,中文名,英文名,图标来源,图标集,场景章节,隐喻含义,建议用法,中文关键词,英文关键词,所在PPT页码,所在PPT分类,Office改色状态,授权提示
DATA-001,,趋势上升,TrendingUp,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,向上箭头表示指标增长,用于业绩、活跃度、转化率等正向指标的可视化,上升 / 增长 / 向上 / 提升 / 增长率,"up, growth, rise, increase",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-002,,趋势上升·已验证,TrendingUpVerified,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,向上箭头表示指标增长（已验证变体）,用于业绩、活跃度、转化率等正向指标的可视化（已验证场景）,上升 / 增长 / 向上 / 提升 / 增长率 / 已验证,"up, growth, rise, increase, verified",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-003,,趋势上升·预警,TrendingUpAlert,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,向上箭头表示指标增长（预警变体）,用于业绩、活跃度、转化率等正向指标的可视化（预警场景）,上升 / 增长 / 向上 / 提升 / 增长率 / 预警,"up, growth, rise, increase, alert",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-004,,趋势上升·上升,TrendingUpUp,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,向上箭头表示指标增长（上升变体）,用于业绩、活跃度、转化率等正向指标的可视化（上升场景）,上升 / 增长 / 向上 / 提升 / 增长率 / 上升,"up, growth, rise, increase, up",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-005,,趋势上升·下降,TrendingUpDown,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,向上箭头表示指标增长（下降变体）,用于业绩、活跃度、转化率等正向指标的可视化（下降场景）,上升 / 增长 / 向上 / 提升 / 增长率 / 下降,"up, growth, rise, increase, down",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-006,,趋势上升·洞察,TrendingUpInsight,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,向上箭头表示指标增长（洞察变体）,用于业绩、活跃度、转化率等正向指标的可视化（洞察场景）,上升 / 增长 / 向上 / 提升 / 增长率 / 洞察,"up, growth, rise, increase, insight",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-007,,趋势下降,TrendingDown,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,向下箭头表示指标下滑,用于不良率、流失率、成本下降等指标,下降 / 下滑 / 下行 / 回落,"down, decline, drop",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-008,,趋势下降·已验证,TrendingDownVerified,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,向下箭头表示指标下滑（已验证变体）,用于不良率、流失率、成本下降等指标（已验证场景）,下降 / 下滑 / 下行 / 回落 / 已验证,"down, decline, drop, verified",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-009,,趋势下降·预警,TrendingDownAlert,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,向下箭头表示指标下滑（预警变体）,用于不良率、流失率、成本下降等指标（预警场景）,下降 / 下滑 / 下行 / 回落 / 预警,"down, decline, drop, alert",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-010,,趋势下降·上升,TrendingDownUp,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,向下箭头表示指标下滑（上升变体）,用于不良率、流失率、成本下降等指标（上升场景）,下降 / 下滑 / 下行 / 回落 / 上升,"down, decline, drop, up",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-011,,趋势下降·下降,TrendingDownDown,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,向下箭头表示指标下滑（下降变体）,用于不良率、流失率、成本下降等指标（下降场景）,下降 / 下滑 / 下行 / 回落 / 下降,"down, decline, drop, down",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-012,,趋势下降·洞察,TrendingDownInsight,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,向下箭头表示指标下滑（洞察变体）,用于不良率、流失率、成本下降等指标（洞察场景）,下降 / 下滑 / 下行 / 回落 / 洞察,"down, decline, drop, insight",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-013,,柱状图,BarChart,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,三根柱子象征对比维度,用于横向对比类业务，如分组数据、月份对比,柱状 / 对比 / 条形 / 分组,"bar, compare, histogram",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-014,,柱状图·已验证,BarChartVerified,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,三根柱子象征对比维度（已验证变体）,用于横向对比类业务，如分组数据、月份对比（已验证场景）,柱状 / 对比 / 条形 / 分组 / 已验证,"bar, compare, histogram, verified",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-015,,柱状图·预警,BarChartAlert,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,三根柱子象征对比维度（预警变体）,用于横向对比类业务，如分组数据、月份对比（预警场景）,柱状 / 对比 / 条形 / 分组 / 预警,"bar, compare, histogram, alert",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-016,,柱状图·上升,BarChartUp,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,三根柱子象征对比维度（上升变体）,用于横向对比类业务，如分组数据、月份对比（上升场景）,柱状 / 对比 / 条形 / 分组 / 上升,"bar, compare, histogram, up",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-017,,柱状图·下降,BarChartDown,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,三根柱子象征对比维度（下降变体）,用于横向对比类业务，如分组数据、月份对比（下降场景）,柱状 / 对比 / 条形 / 分组 / 下降,"bar, compare, histogram, down",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-018,,柱状图·洞察,BarChartInsight,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,三根柱子象征对比维度（洞察变体）,用于横向对比类业务，如分组数据、月份对比（洞察场景）,柱状 / 对比 / 条形 / 分组 / 洞察,"bar, compare, histogram, insight",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-019,,多列柱状,BarChart5,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,多柱表示更多分组细节,适合多维度细分的对比展示,多柱 / 细分 / 对比,"bars, segmented, breakdown",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-020,,多列柱状·已验证,BarChart5Verified,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,多柱表示更多分组细节（已验证变体）,适合多维度细分的对比展示（已验证场景）,多柱 / 细分 / 对比 / 已验证,"bars, segmented, breakdown, verified",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-021,,多列柱状·预警,BarChart5Alert,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,多柱表示更多分组细节（预警变体）,适合多维度细分的对比展示（预警场景）,多柱 / 细分 / 对比 / 预警,"bars, segmented, breakdown, alert",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-022,,多列柱状·上升,BarChart5Up,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,多柱表示更多分组细节（上升变体）,适合多维度细分的对比展示（上升场景）,多柱 / 细分 / 对比 / 上升,"bars, segmented, breakdown, up",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-023,,多列柱状·下降,BarChart5Down,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,多柱表示更多分组细节（下降变体）,适合多维度细分的对比展示（下降场景）,多柱 / 细分 / 对比 / 下降,"bars, segmented, breakdown, down",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-024,,多列柱状·洞察,BarChart5Insight,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,多柱表示更多分组细节（洞察变体）,适合多维度细分的对比展示（洞察场景）,多柱 / 细分 / 对比 / 洞察,"bars, segmented, breakdown, insight",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-025,,折线图,LineChart,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,折线表示时间序列,用于趋势、走势、时序变化,折线 / 趋势 / 时序 / 走势,"line, trend, timeseries",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-026,,折线图·已验证,LineChartVerified,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,折线表示时间序列（已验证变体）,用于趋势、走势、时序变化（已验证场景）,折线 / 趋势 / 时序 / 走势 / 已验证,"line, trend, timeseries, verified",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-027,,折线图·预警,LineChartAlert,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,折线表示时间序列（预警变体）,用于趋势、走势、时序变化（预警场景）,折线 / 趋势 / 时序 / 走势 / 预警,"line, trend, timeseries, alert",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-028,,折线图·上升,LineChartUp,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,折线表示时间序列（上升变体）,用于趋势、走势、时序变化（上升场景）,折线 / 趋势 / 时序 / 走势 / 上升,"line, trend, timeseries, up",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
