编号,图标预览,中文名,英文名,图标来源,图标集,场景章节,隐喻含义,建议用法,中文关键词,英文关键词,所在PPT页码,所在PPT分类,Office改色状态,授权提示
STRAT-001,,通用2x2矩阵,Matrix2x2,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,横纵两轴划出四个象限是战略分析的最基本结构,用于任何二维分类：高/低、强/弱、紧急/重要等场景,2x2 / 矩阵 / 象限 / 战略矩阵,"matrix, 2x2, quadrant",3,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-002,,明星象限,StarQuadrant,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,右上象限通常代表高吸引力高竞争力的明星位置,用于标记业务组合中的优势单元,明星 / 右上象限 / 高潜,"star, top-right, winner",3,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-003,,现金牛象限,CashCowQuadrant,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,左上象限代表稳定输出现金流的成熟业务,用于标记需要稳收益维护的业务,现金牛 / 左上象限 / 成熟,"cash-cow, stable",3,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-004,,问号象限,QuestionQuadrant,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,右下象限代表前景未明的高风险高回报业务,用于标记需要决策投入或退出的业务,问号 / 右下象限 / 未明,"question-mark, uncertain",3,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-005,,瘦狗象限,DogQuadrant,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,左下象限代表低增长低份额的鸡肋业务,用于标记应当退出或剥离的业务,瘦狗 / 左下象限 / 退出,"dog, exit",3,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-006,,增长份额矩阵,GrowthShareMatrix,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,增长率vs市场份额的经典业务组合评估矩阵,用于业务组合诊断、资源分配决策,增长份额 / BCG / 组合矩阵,"growth-share, BCG, portfolio",3,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-007,,三层增长曲线,ThreeHorizons,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,近中远三个时间维度的增长曲线叠加,用于战略转型路线图、近中远期布局,三层 / Horizon / 增长曲线 / 战略转型,"three-horizons, horizon, growth",3,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-008,,近期视野,Horizon1,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,聚焦当前主营业务，最近期增长曲线,用于标识近期增长板块,近期 / Horizon1 / 当前业务,"horizon-1, near-term",3,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-009,,中期视野,Horizon2,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,正在孕育的增长业务，中期视野,用于标识中期培育板块,中期 / Horizon2 / 孕育业务,"horizon-2, mid-term",3,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-010,,远期视野,Horizon3,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,尚在远期探索的颠覆性新业务,用于标识远期颠覆板块,远期 / Horizon3 / 颠覆,"horizon-3, long-term, disruption",3,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-011,,五力模型,FiveForces,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,中心是竞争对手，四周是供应商/买家/新进入者/替代品,用于行业竞争结构分析,五力 / Porter / 行业分析,"five-forces, porter, industry",3,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-012,,价值链,ValueChain,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,上方是支持活动，下方主活动箭头形指向价值,用于企业内部价值创造活动分析,价值链 / Porter / 主活动,"value-chain, porter, activities",3,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-013,,安索夫矩阵,AnsoffMatrix,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,现有/新市场 × 现有/新产品 四个增长选项,用于增长战略选择,安索夫 / 增长矩阵 / 市场产品,"ansoff, growth-matrix",3,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-014,,GE矩阵,GeMatrix,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,九宫格行业吸引力vs业务实力矩阵,用于多业务组合评估,GE矩阵 / 九宫格 / 组合,"ge-matrix, 3x3",3,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-015,,7S框架,SevenS,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,中心共享价值观连接战略/结构/系统/技能/风格/人员,用于组织诊断的七要素一致性分析,7S / 麦肯锡7S / 组织诊断,"seven-s, 7s-framework",3,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-016,,SWOT矩阵,SwotMatrix,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,优势/劣势/机会/威胁的内外部经典分析框架,用于战略起点诊断,SWOT / 优劣势机会威胁,"swot, strengths-weaknesses",3,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-017,,PESTLE分析,PestleGrid,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,政治/经济/社会/技术/法律/环境六大宏观因素,用于宏观环境扫描,PESTLE / 宏观环境,"pestle, macro",3,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-018,,战略钻石,StrategyDiamond,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,战略竞技场/载具/差异化/经济逻辑/分阶段五要素,用于战略要素一致性检验,战略钻石 / Hambrick / 五要素,strategy-diamond,3,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-019,,战略选择级联,WhereToPlay,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,从致胜抱负到能力体系的战略层层级联,用于战略选择系统化,战略选择 / 级联 / Where-to-Play,"strategy-choice, cascade",3,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-020,,Build-Borrow-Buy,BuildBorrowBuy,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,自建/借用/收购三种能力获取路径,用于能力构建路径决策,BuildBorrowBuy / 能力获取,build-borrow-buy,3,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-021,,核心-相邻-转型,CoreAdjacentTransform,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,三层同心圆代表核心业务、相邻业务、转型业务,用于增长层次规划,核心相邻转型 / 三层增长,core-adjacent-transform,3,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-022,,自制-外购-合作,MakeBuyPartner,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,三角形象征自制/外购/合作的供应决策三选项,用于供应链与能力边界决策,自制外购合作 / MakeBuyPartner,make-buy-partner,3,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-023,,颠覆曲线,DisruptionCurve,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,颠覆者从低端切入快速取代成熟玩家,用于颠覆性创新分析,颠覆 / Disruption / 替代,"disruption, disruptive-innovation",3,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-024,,蓝海战略,BlueOcean,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,波浪线代表开辟无人竞争的全新价值曲线,用于价值创新与差异化战略,蓝海 / 价值创新,"blue-ocean, value-innovation",3,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
